Sample,Block,Rep,Date,SoilYear,Variety,SoilType,WCR,Arm,Order,Mass,EPN
F1-1,1,1,2/8/2023,2022,MastersChoice,Fallow,yes,front,16,0.255,54
F1-2,1,2,2/8/2023,2022,MastersChoice,Fallow,yes,back,14,0.1845,115
F1-3,1,3,2/8/2023,2022,MastersChoice,Fallow,yes,front,13,0.1139,71
F1-4,1,4,2/8/2023,2022,MastersChoice,Fallow,no,back,16,0.2091,103
F1-5,1,5,2/8/2023,2022,MastersChoice,Fallow,no,front,10,0.145,40
F1-6,1,6,2/8/2023,2022,MastersChoice,Fallow,yes,back,10,0.178,90
F1-7,1,7,2/8/2023,2022,MastersChoice,Fallow,no,front,14,0.6067,131
F1-8,1,8,2/8/2023,2022,MastersChoice,Fallow,no,back,13,0.1483,165
R1-1,1,1,2/8/2023,2022,MastersChoice,Radish,no,front,4,0.5895,17
R1-2,1,2,2/8/2023,2022,MastersChoice,Radish,yes,front,15,0.2508,89
R1-3,1,3,2/8/2023,2022,MastersChoice,Radish,no,front,8,0.2252,6
R1-4,1,4,2/8/2023,2022,MastersChoice,Radish,yes,back,4,0.6446,104
R1-5,1,5,2/8/2023,2022,MastersChoice,Radish,no,back,2,0.2871,127
R1-6,1,6,2/8/2023,2022,MastersChoice,Radish,yes,back,8,0.2087,134
R1-7,1,7,2/8/2023,2022,MastersChoice,Radish,yes,front,2,0.1626,118
R1-8,1,8,2/8/2023,2022,MastersChoice,Radish,no,back,15,0.285,141
T1-1,1,1,2/8/2023,2022,MastersChoice,Triticale,no,back,6,0.5072,115
T1-2,1,2,2/8/2023,2022,MastersChoice,Triticale,no,back,9,0.3014,47
T1-3,1,3,2/8/2023,2022,MastersChoice,Triticale,no,back,3,0.4593,123
T1-4,1,4,2/8/2023,2022,MastersChoice,Triticale,no,back,17,0.3027,95
T1-5,1,5,2/8/2023,2022,MastersChoice,Triticale,yes,front,6,0.5813,82
T1-6,1,6,2/8/2023,2022,MastersChoice,Triticale,yes,front,9,0.2074,102
T1-7,1,7,2/8/2023,2022,MastersChoice,Triticale,yes,front,17,0.191,121
T1-8,1,8,2/8/2023,2022,MastersChoice,Triticale,yes,front,3,0.732,56
T1-9,1,9,2/8/2023,2022,MastersChoice,Triticale,no,front,1,0.2801,44
T1-10,1,10,2/8/2023,2022,MastersChoice,Triticale,yes,back,1,0.6511,92
P1-1,1,1,2/8/2023,2022,MastersChoice,Pea,yes,front,5,0.5585,42
P1-2,1,2,2/8/2023,2022,MastersChoice,Pea,no,front,7,0.3264,42
P1-3,1,3,2/8/2023,2022,MastersChoice,Pea,yes,back,12,0.7779,306
P1-4,1,4,2/8/2023,2022,MastersChoice,Pea,no,back,11,0.2238,52
P1-5,1,5,2/8/2023,2022,MastersChoice,Pea,no,back,5,0.178,71
P1-6,1,6,2/8/2023,2022,MastersChoice,Pea,yes,back,18,0.3999,120
P1-7,1,7,2/8/2023,2022,MastersChoice,Pea,yes,front,11,0.248,121
P1-8,1,8,2/8/2023,2022,MastersChoice,Pea,no,front,12,0.2107,79
P1-9,1,9,2/8/2023,2022,MastersChoice,Pea,no,front,18,0.1455,96
P1-10,1,10,2/8/2023,2022,MastersChoice,Pea,yes,back,7,0.3834,164
F2-1,2,1,2/12/2023,2022,MastersChoice,Fallow,yes,front,17,0.3497,108
F2-2,2,2,2/12/2023,2022,MastersChoice,Fallow,yes,front,4,0.2841,108
F2-3,2,3,2/12/2023,2022,MastersChoice,Fallow,no,back,12,0.3456,17
F2-4,2,4,2/12/2023,2022,MastersChoice,Fallow,no,back,1,0.3592,28
