Class,Compound,Compound_new
Monoterpenoid,(-)-Menthol,(-)-Menthol
Diamine,"1,2,4-Thiadiazole-3,5-diamine","1,2,4-Thiadiazole-3,5-diamine"
Naphthalene,"Naphthalene, 1,6,7-trimethyl-","1,6,7-Trimethylnaphthalene"
Naphthalene,"Naphthalene, 1,6-dimethyl-","1,6-Dimethylnaphthalene"
Alcohol,1-Decanol,1-Decanol
Alcohol,1-Hexanol,1-Hexanol
Alkene,1-Nonene,1-Nonene
Alkene,"1-Undecene, 8-methyl-","1-Undecene, 8-methyl-"
Alkane,"Heptane, 2,2,4,6,6-pentamethyl-","2,2,4,6,6-pentamethylheptane"
Alkane,"Octane, 2,2,6-trimethyl-","2,2,6-trimethyloctane"
Alkane,"Butane, 2,2-dimethyl-","2,2-Dimethylbutane "
Sulfone,"2,2-Dimethyl-propyl 2,2-dimethyl-propanesulfinyl sulfone","2,2-Dimethyl-propyl 2,2-dimethyl-propanesulfinyl sulfone"
Alkane,"Hexane, 2,3,4-trimethyl-","2,3,4-Trrimethylhexane"
Alkene,"2,4-Dimethyl-1-heptene","2,4-Dimethyl-1-heptene"
Aldehyde,"Hexanal, 2-ethyl-",2-ethylhexanal
Alcohol,"1-Hexanol, 2-ethyl-",2-Ethylhexanol
Pyrone,"2H-Pyran-2-one, 6-pentyl-","2H-Pyran-2-one, 6-pentyl-"
Ester,"2-Propenoic acid, 2-methyl-, 3,3,5-trimethylcyclohexyl ester","3,3,5-Trimethylcyclohexyl methacrylate"
Alkane,"Hexane, 3,3-dimethyl-","3,3-dimethylhexane"
Alkane,"3,6-dimethyl decane","3,6-dimethyl decane"
Alkane,"Undecane, 3,6-dimethyl-","3,6-dimethylundecane"
Isothiocyanate,"1-Butene, 4-isothiocyanato-",3-Butenyl isothiocyanate
Monoterpene,3-Carene,3-Carene
Aldehyde,"Benzaldehyde, 3-ethyl-",3-Ethylbenzaldehyde
Ester,3-Heptyl formate,3-Heptyl formate
Aldehyde,3-Isopropylbenzaldehyde,3-Isopropylbenzaldehyde
Ketone,3-Octanone,3-Octanone
Ketone,3-Octanone1,3-Octanone
Ketone,3-Octanone2,3-Octanone
