"","SoilType","WCR","Variety","Block","8-Heptadecene","(-)-Menthol","alpha-muurolene","Unknown RI 1061.3","3-Heptyl formate","1-Hexanol, 2-ethyl-","3-Octanone","Unknown RI 946.6","Ethanol, 2-(2-ethoxyethoxy)-","1-Decanol","Decanal","1-Dodecanol","Dodecanal","2-Ethylhexyl salicylate","trans-alpha-Bergamotene","Unknown RI 1026","Unknown RI 1677.1","3-Methyl-2-(2-methyl-2-butenyl)-furan","Unknown RI 888.7","beta-Selinene","3,6-dimethyl decane","beta-Pinene","2,4-Dimethyl-1-heptene","(E)-4,8-Dimethylnona-1,3,7-triene","Allyl butanoate","1-Butene, 4-isothiocyanato-","Sabinene","1-Octen-3-ol","Benzaldehyde, 3-ethyl-","Unknown RI 1205.1","Unknown RI 1081.4","beta-Bourbonene","Germacrene D","Heptanal","Hexanal, 2-ethyl-","Hexane, 2,3,4-trimethyl-","Isopentyl butanoate","Limonene","D-Isomenthone_11.42","Nonane, 2,2,4,4,6,8,8-heptamethyl-","n-Tridecan-1-ol","1-Undecanol","Octane, 2,2,6-trimethyl-","Octanoic acid","Orcinol","Unknown RI 1281.7","Unknown RI 1079.2","Unknown RI 1092.4","2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-","Unknown RI 1434.1","2-Propenoic acid, 2-methyl-, 3,3,5-trimethylcyclohexyl ester","Camphene","alpha-Pinene","Unknown RI 1125.8","Unknown RI 1045.5","Caryophyllene","Unknown RI 1302.4","p-ethyl acetophenone","Benzothiazole","Unknown RI 899.2","Acetophenone","alpha-Phellandrene","Totals"
"A09","CCFallow","no","MastersChoice",2,0,1.19859564570841,4.44833964213668,78.1480977259302,4.22721851292195,23.9360983068602,0.62042747421517,0,4.4788664318856,10.429392290567,0,2.28086815888347,0,0,5.69821240616806,3.3838114542421,4.45535327725729,5.21552164645756,1.32551313179285,7.15334349921203,9.72070997221806,17.7448130335386,4.71970373100628,20.7647815975553,0,1.18434574680997,18.5060793986508,0,3.87625954268009,0,0,9.85430586889392,13.2799742551869,1.13337682854398,18.6424981403277,5.44387630958724,0,63.2032153824311,0,42.3848409820913,0,4.45535327725729,1.77654541061533,1.87954399257328,4.44324723653105,16.5600414866362,4.0774652805161,1.26708847550249,2.76926499913208,0,1.0431897701962,21.1322366523005,62.3707305578274,2.39374353427916,11.3567025511376,5.60217136781684,6.20021053223393,6.54924944332003,2.42321018075194,2.02508999716435,2.55458564645532,5.411014313785,553.749125099792
"A10","CCFallow","yes","MastersChoice",2,0,2.38661022797273,6.05548089864029,60.8865218722183,6.75652733223193,44.0316064173452,2.9736280723248,0,5.50845526905012,7.9928667426743,0,6.63730121306172,0.858865830324935,3.88590547467384,7.8350224087428,4.11845056507411,6.15780854309703,4.48809932793514,1.79287181387144,9.6858792096093,10.9674811208442,25.0332508990533,5.96025308875836,32.8096756853763,0,1.92344600357957,27.7258892582798,0,6.05484827962724,1.65929214985521,0,13.7734754670226,23.2505243862293,1.75906167347898,24.2473229582918,5.90006274032705,0,81.2503227613089,6.05484827962724,50.7547220245887,3.60384100338822,6.15780854309703,3.67375957174585,4.27597442444951,4.82465037234335,26.1108231798174,6.44337036338638,2.4408050023109,14.5064043376091,0,2.01891275035448,32.4046213821663,82.0671860281747,4.70835367297914,23.8924940376997,38.9367199829518,8.53268434491058,5.05459388892268,9.92305718064396,1.82483458814941,4.3713711597083,6.8866840599938,793.835327869899
"A11","CCFallow","yes","MastersChoice",2,0,2.00693738307043,4.85065211274574,57.391167703185,13.3786674484331,37.014279976371,2.27681816177997,0,3.8928309426438,5.78526753979632,2.13045511930663,29.1500972484041,1.71742621692092,2.90883299806449,7.40376710581496,3.3664360009563,4.90457104816856,5.14955788694875,2.05549812015817,5.95545029479618,8.79647649399376,17.9606149962672,3.27743101150685,26.7449931423594,0,1.31524317139491,19.9578913015753,0,2.42822192072051,0.916680103000252,2.58691239055005,7.61433867727785,13.6662513973238,2.03718274555295,26.5442283739464,4.32937479580013,0,62.0598466458422,2.4001788998077,36.9653224901663,20.9353863162376,4.90457104816856,1.12413544540959,0.590730349655167,3.28193439560367,17.6233582740514,3.28889901167784,1.19166360658209,2.68491293847721,3.27820086290827,0,30.3392656081066,49.9158228830974,1.46942295225855,16.4467309787465,12.9130932344927,8.30517755602618,3.41506705566634,3.34642023763276,1.73184088257537,3.04397314739097,5.43281731990706,626.203325969322
"A12","CCFallow","no","MastersChoice",2,0,0,1.44365418915798,16.5426908273736,0,14.4084124455471,0.587950821525161,2.65416469498305,0.375275284187207,3.92886652711983,0.712004641815383,27.1293526099335,0,0,3.68654550973175,0.554779306879406,0,1.15497977811234,0,1.85289631832374,1.03164213525287,0,0,10.5285850216011,0,0,6.4685397415023,1.75903620194657,1.77554237652725,1.55320535572285,0,2.66254479961323,4.24930821668884,0,7.42439056446524,0,0,12.0536825907591,0,19.1828389948501,24.9729275480709,0,0,0.568155743832733,0,4.30255208033764,0,0,0,3.40059271074129,0.693449954760643,0.820854640827593,4.0482400052134,1.2669954004485,3.47492508015713,5.01699718675729,2.30881262796711,3.08785648731424,1.19145445049005,1.69800861237807,4.55120408355821,0.775725283431071,205.899640849905
"A13","CCFallow","yes","MastersChoice",2,0.258336228705917,0,3.20523263585626,26.2336184094019,0,27.0705123370846,1.56273008978888,0.118000073696762,1.20141456489349,3.39577113676534,1.2952677808708,56.7726706354809,0.739033333450526,0,2.9932063831589,0.808866973657935,3.59311503013556,0,0,3.03054723825973,2.15998424435174,3.1898447494965,0.771525677391214,7.45989274022908,0,0,4.61434692726355,0,1.480858532859,0,0,3.78193797726232,4.86821661425966,0,5.94914994744734,1.1304899041399,0,21.5485944076938,0,19.6972147889293,63.1283086323306,0.539473249489298,0,0.559196508912724,1.26084263326031,7.34087229877891,0,0,0,9.33835854856175,0,2.15128580303289,14.2233101467252,1.63579505308022,4.56623259804784,4.70089599243535,2.64331439809053,2.39748246036836,0.297849160816522,1.82509105011032,4.35389607789069,0.797522647172098,330.690106621634
"A14","CCFallow","yes","MastersChoice",2,0,3.09131150605003,8.76703727955981,73.0985025773519,7.30144045924732,24.8978629285852,0,0,6.02086687124485,9.13553752491316,0,27.0761588578587,3.05912698008545,3.70689546220753,7.99550437488226,6.24278852075861,7.32665077587776,3.26959233987831,0.24600660822319,11.8544027041679,13.1474910402429,15.9036558663229,9.63859438450966,26.5429983633862,0,2.60535329062219,19.0887868724025,0,4.4451657180706,0,0,16.1301208717925,17.8231084436433,0.3302476187447,10.1115963867643,3.75515925833341,6.03464995925927,48.6859071308062,3.72639637237484,70.975250737813,13.9939174299665,7.32665077587776,4.80438838239925,5.5082373477479,8.59534570866417,32.9374213823165,7.81664653689887,3.96715218554712,13.2187821801997,2.02725708767967,1.95965017888728,25.4509947376815,55.9864461591829,13.0542303541306,15.037132096847,9.99323481972389,12.4438014421505,5.36093448616514,1.74504723209733,3.22152752851019,4.60620048688741,9.1104716973381,730.19963832288
"A15","CCFallow","yes","MastersChoice",2,0,0.742661887249639,3.8004636952033,66.8647295025023,4.11492352155698,18.6599243253521,5.58405492188172,9.94271203765945,2.54541308726894,4.06862956668085,1.60492596256807,1.3818875824594,0.342536668574176,0,6.3455728521301,3.18894911162999,2.72846500574584,48.5883490901771,1.16197270949683,3.30420259812359,5.71146543514816,8.51037552183611,4.08197033376572,23.7543258099471,0,0,16.5981214050646,28.7173432899264,0,5.74950579649516,4.03597800888706,7.59944147778651,5.62155527613098,0,12.0118301277339,4.65531631006508,0,52.2728888213356,2.74113422908634,34.6087553330321,0,2.72846500574584,3.51126020286087,0.60919742384468,4.42212288041485,12.4042627905725,3.49156353709836,0,3.43682829920605,0,6.54691409771088,22.8753885599847,42.8870856757765,1.89328058744605,8.89561078579579,3.08890851159946,4.9584489554344,2.51233611681963,2.05964486158969,3.04419802206987,2.74229844095156,3.78056574796521,537.528761805388
"A16","CCFallow","no","MastersChoice",2,0,1.3517001078992,11.3984990133174,41.9471438758767,5.76096870072253,64.2718023686738,1.46635625775025,0,4.11406901487377,3.67307263740159,3.18540735219189,84.4312049538606,7.93086618003854,1.0946555445255,5.73532046192318,3.0767217911798,4.92279555050776,4.66719928710327,1.58967260893161,14.9161497668887,7.45413508210517,16.8167422967231,3.37639820040274,24.57882484937,1.42945458065418,1.64833015022732,18.4657552849728,0,0,0,0,7.71279468253401,12.8432688141063,3.47207841380476,27.6645025084227,3.65582237723663,0,56.9630387295785,2.7395047434959,36.9110462068617,89.8305882520253,4.92279555050776,2.34007267933804,0.992158529575176,4.20407702829993,18.4855873744015,2.7107465587089,7.83396005838492,6.80869815657904,10.5215661919865,0,12.8549933383571,42.9052208481859,4.7827371788091,14.3997472273162,16.2959519018828,8.51641812561635,2.63669598138079,7.92268788017523,2.0064271797967,4.99341679062597,5.00220596706007,762.232055193175
"A17","CCFallow","no","MastersChoice",3,45.6265452479217,209.429105683117,8.72521242739434,9.18002557477335,6.16808301599325,48.642676513876,2.2480623410214,0,0.32491843718112,12.0381928455536,0,22.7113242018395,2.74449593798322,3.72988318282116,21.7460730575376,0,14.1646363782404,12.6372032544549,0,37.6126289982943,1.7493513909197,2.58538697073043,0.630121820891149,75.5088298598154,0,0,9.9546605701036,2.79104391780384,7.58754439381383,6.99371615489499,1.64931204764587,32.9295252875791,52.7475402864001,0.142130323168309,15.6020034824652,2.37064039212971,0,37.2220216903515,18.7258585285207,18.0006385289653,23.6910555283328,14.1646363782404,0,0,0,48.9851919420568,0,1.81548725837713,43.9703438601709,3.60206180933539,5.11767023939112,5.52214083193604,20.1563476289439,7.58957014739633,38.5066282870231,30.9033696021014,27.3916498565183,4.85909299223401,21.0214025090832,1.49506328491958,5.2997069364919,1.90458308147887,1050.91539491823
"A18","CCFallow","no","MastersChoice",3,6.95459837184244,545.012499495407,15.947551401068,171.292526378842,44.4529893083973,365.107853757654,4.74726644140454,23.861628849033,8.39107248358357,6.68554471747037,0,21.2696207016387,6.88796130477902,11.2033717402157,48.5846078952356,32.3082599488331,31.2248200472872,10.6416268846834,7.53836655397704,49.1024809007799,61.8156780890094,88.6337658977885,20.0424694487358,209.35970108641,0,8.59194725909652,138.158200945465,11.9485551696465,15.2442287273758,12.2320589324278,0,66.1541350464282,119.162697738101,10.0276108317131,164.314732378429,13.2537301287873,44.5021672284174,285.317681376055,45.6602472286276,107.991614203558,10.4273229914284,31.2248200472872,23.1141196073233,5.38649978339678,11.1227372579073,112.140206849073,88.4301703075931,19.2079941771937,92.4888022363825,2.21802549640118,6.97510753702841,87.7156756633682,272.557262809491,14.146492871393,86.9556134566945,40.2897002364784,58.0590290193371,10.8069610648759,37.4432402038923,7.63486130465883,22.1134958379619,13.5394073394451,3887.62341499681
