Sample,Trt,Rep,Block,SoilType,Variety,SoilYear,DateGerm,WCR,DateWCR,WCRAdded,Height,Vstage,RootMass,ShootMass,RootShootRatio,WCRRecovered,WCRSurvival,WCRWeightAvg,WCRInstarAvg,WCRTotalWeight,WCR3rdInstar
A01,A,1,1,CCFallow,MastersChoice,2021,6/7/2021,yes,7/14/2021,19,NA,NA,NA,0.876,NA,0,0,NA,NA,NA,
A02,A,2,1,CCFallow,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.3968,1.2108,1.979517674,NA,NA,NA,NA,NA,
A03,A,3,1,CCFallow,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,0.86,1.4335,0.599930241,NA,NA,NA,NA,NA,
A04,A,4,1,CCFallow,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.2151,1.0482,1.159225339,NA,NA,NA,NA,NA,
A05,A,5,1,CCFallow,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,1.2342,NA,2,0.1,4.9085,3,9.817,
A06,A,6,1,CCFallow,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A07,A,7,1,CCFallow,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,3.414,1.9611,1.740859722,NA,NA,NA,NA,NA,
A08,A,8,1,CCFallow,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,0.985,NA,0,0,NA,NA,NA,
B01,B,1,1,CCPea,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,5.328,0.9941,5.359621768,NA,NA,NA,NA,NA,
B02,B,2,1,CCPea,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,1.8193,NA,2,0.1,1.1875,3,2.375,
B03,B,3,1,CCPea,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,3.19,1.2485,2.555066079,NA,NA,NA,NA,NA,
B04,B,4,1,CCPea,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,3.2538,1.4763,2.204023572,NA,NA,NA,NA,NA,
B05,B,5,1,CCPea,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.6374,2.308,1.142720971,NA,NA,NA,NA,NA,
B06,B,6,1,CCPea,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
B07,B,7,1,CCPea,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,1.0071,NA,2,0.1,1.925,3,3.85,
B08,B,8,1,CCPea,MastersChoice,2021,6/7/2021,yes,7/14/2021,19,NA,NA,NA,1.2394,NA,3,0.157894737,1.754,2.666666667,5.262,
C01,C,1,1,CCRadish,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.6257,0.8298,3.164256447,NA,NA,NA,NA,NA,
C02,C,2,1,CCRadish,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.2915,0.7157,1.804527036,NA,NA,NA,NA,NA,
C03,C,3,1,CCRadish,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.4311,0.7913,1.808542904,NA,NA,NA,NA,NA,
